source,target,weight,shared_episode_count,association_strength,display_width
Geli Tripping,Marvy,0.17652,5,0.51031,0.3325
Katje Borgesius,Tantivy Mucker-Maffick,0.17644,5,0.38236,0.3324
Gerhardt von Göll,Margherita Erdmann,0.17514,4,0.28284,0.3312
Gerhardt von Göll,Greta Erdmann,0.17419,7,0.45185,0.3303
Drohne,Thanatz,0.17073,1,0.28868,0.327
Drohne,Weissmann / Blicero,0.17073,1,0.2132,0.327
Gottfried,Tyrone Slothrop,0.17073,5,0.27864,0.327
Jerome / Jeremy,Seaman Bodine,0.16981,1,0.12599,0.3261
Leni Pökler,Weissmann / Blicero,0.16938,2,0.19069,0.3257
Magda,Tyrone Slothrop,0.1693,3,0.25538,0.3256
Tyrone Slothrop,Whappo,0.16887,2,0.20851,0.3252
Laszlo Jamf,Weissmann / Blicero,0.16829,6,0.27273,0.3246
Milton Gloaming,Roger Mexico,0.16575,4,0.4714,0.3222
Enzian,Ned Pointsman,0.1636,5,0.23313,0.3201
Greta Erdmann,Max Schlepzig,0.16334,5,0.43519,0.3198
Roland,Tyrone Slothrop,0.16314,2,0.14744,0.3196
Dr. Kevin Spectro,Roger Mexico,0.16271,4,0.4714,0.3192
Max Schlepzig,Thanatz,0.16269,5,0.43519,0.3192
Alfonso Tracy,Lyle Bland,0.16176,1,0.26726,0.3183
Pirate Prentice,Stephen Dodson-Truck,0.15996,4,0.3849,0.3165
Laszlo Jamf,Tchitcherine,0.15981,5,0.25126,0.3164
Ned Pointsman,Webley Silvernail,0.15903,5,0.45644,0.3156
Jessica Swanlake,Penelope,0.15902,2,0.4264,0.3156
Penelope,Roger Mexico,0.15902,2,0.33333,0.3156
Katje Borgesius,Ned Pointsman,0.15889,6,0.30779,0.3154
Carroll Eventyr,Nora Dodson-Truck,0.15871,2,0.4714,0.3153
Nora Dodson-Truck,Peter Sachsa,0.15871,2,0.40825,0.3153
Jessica Swanlake,Tyrone Slothrop,0.15765,4,0.17782,0.3142
Dzabajev,Enzian,0.15693,2,0.24077,0.3135
Dr. Rollo Groast,Edwin Treacle,0.15677,4,0.7303,0.3133
Ernest Pudding,Géza Rózsavölgyi,0.15634,3,0.42426,0.3129
Krupp,Laszlo Jamf,0.15506,4,0.32233,0.3116
Katje Borgesius,Teddy Bloat,0.15451,4,0.30589,0.3111
Emil Säure Bummer,Tyrone Slothrop,0.1542,10,0.44455,0.3107
Osbie Feel,Weissmann / Blicero,0.15333,2,0.19069,0.3099
Marvy,Seaman Bodine,0.15323,3,0.28868,0.3098
Gerhardt von Göll,Marvy,0.1531,5,0.32275,0.3096
Ned Pointsman,Tchitcherine,0.15266,2,0.10541,0.3092
Greta Erdmann,Sigmund (Bad Karma companion),0.15212,2,0.40825,0.3086
Charles,Enzian,0.15152,1,0.14744,0.308
Charles,Horst Achtfaden,0.15152,1,0.31623,0.308
Crutchfield,Tyrone Slothrop,0.15,1,0.14744,0.3065
Crutchfield,Whappo,0.15,1,0.70711,0.3065
