source,target,weight,shared_episode_count,association_strength,display_width
Darlene,Teddy Bloat,0.03571,1,0.16667,0.1496
Chiclitz,Dzabajev,0.03571,1,0.33333,0.1496
Chiclitz,Horst Achtfaden,0.03571,1,0.2582,0.1496
Chiclitz,Krupp,0.03571,1,0.21822,0.1496
Dzabajev,Gerhardt von Göll,0.03571,1,0.1291,0.1496
Dzabajev,Horst Achtfaden,0.03571,1,0.2582,0.1496
Dzabajev,Krupp,0.03571,1,0.21822,0.1496
Dzabajev,Weissmann / Blicero,0.03571,1,0.12309,0.1496
Horst Achtfaden,Krupp,0.03571,1,0.16903,0.1496
Krupp,Weissmann / Blicero,0.03571,1,0.08058,0.1496
Geli Tripping,Thanatz,0.03557,2,0.20412,0.1493
Frans van der Groov,Osbie Feel,0.03541,2,0.5164,0.1489
Frans van der Groov,Webley Silvernail,0.03541,2,0.4714,0.1489
Max Schlepzig,Steve Edelman,0.03535,2,0.4264,0.1488
Hogan,Katje Borgesius,0.03523,4,0.34684,0.1485
Kurt Mondaugen,Tyrone Slothrop,0.0344,3,0.19781,0.1468
Andreas Orukambe,Greta Erdmann,0.03414,3,0.30619,0.1462
Katje Borgesius,Margherita Erdmann,0.03399,2,0.1451,0.1459
Franz Pökler,Krupp,0.03393,2,0.25198,0.1458
Krupp,Lyle Bland,0.03393,2,0.28571,0.1458
Jessica Swanlake,Peter Sachsa,0.03382,2,0.2132,0.1455
Ludwig,Marvy,0.03381,2,0.2357,0.1455
Felix,Jerome / Jeremy,0.03333,1,0.26726,0.1445
Felix,Jessica Swanlake,0.03333,1,0.2132,0.1445
Felix,Ned Pointsman,0.03333,1,0.15811,0.1445
Felix,Roger Mexico,0.03333,1,0.16667,0.1445
Dzabajev,Franz Pökler,0.03333,1,0.19245,0.1445
Dzabajev,Laszlo Jamf,0.03333,1,0.12309,0.1445
Dzabajev,Vaslav,0.03333,1,0.33333,0.1445
Blodgett Waxwing,Osbie Feel,0.03326,2,0.33806,0.1443
Laszlo Jamf,Osbie Feel,0.03326,2,0.19069,0.1443
Gerhardt von Göll,Mickey Rooney,0.03297,2,0.31623,0.1437
Stephen Dodson-Truck,Weissmann / Blicero,0.03291,2,0.17408,0.1436
Andreas Orukambe,Pirate Prentice,0.03287,2,0.16667,0.1435
Pavel,Weissmann / Blicero,0.03287,2,0.2132,0.1435
Greta Erdmann,Magda,0.03262,2,0.33333,0.1429
Dennis Joint,Edwin Treacle,0.03261,1,0.44721,0.1429
Edwin Treacle,Floyd Perdoo,0.03261,1,0.44721,0.1429
Geli Tripping,Max Schlepzig,0.03256,3,0.3198,0.1428
Blodgett Waxwing,Villard Dumpster,0.03252,1,0.26726,0.1427
Laszlo Jamf,Villard Dumpster,0.03252,1,0.15076,0.1427
Mario Schweitar,Tantivy Mucker-Maffick,0.03252,1,0.2357,0.1427
Mario Schweitar,Villard Dumpster,0.03252,1,0.5,0.1427
Semyavin,Tantivy Mucker-Maffick,0.03252,1,0.33333,0.1427
Semyavin,Villard Dumpster,0.03252,1,0.70711,0.1427
Tantivy Mucker-Maffick,Villard Dumpster,0.03252,1,0.2357,0.1427
Emil Säure Bummer,Thanatz,0.03219,2,0.17408,0.142
Géza Rózsavölgyi,Webley Silvernail,0.03215,2,0.36515,0.1419
Gottfried,Laszlo Jamf,0.03197,2,0.16116,0.1415
Géza Rózsavölgyi,Laszlo Jamf,0.03194,2,0.19069,0.1414
Schnorp,Tchitcherine,0.03191,1,0.2357,0.1414
Magda,Marvy,0.03191,1,0.16667,0.1414
Albert Krypton,"Birdbury, Pharmacist",0.03185,1,1.0,0.1412
Albert Krypton,Gerhardt von Göll,0.03185,1,0.22361,0.1412
"Birdbury, Pharmacist",Gerhardt von Göll,0.03185,1,0.22361,0.1412
"Birdbury, Pharmacist",Manuela,0.03185,1,1.0,0.1412
"Birdbury, Pharmacist",Marvy,0.03185,1,0.28868,0.1412
"Birdbury, Pharmacist",Seaman Bodine,0.03185,1,0.33333,0.1412
"Birdbury, Pharmacist",Spontoon,0.03185,1,1.0,0.1412
"Birdbury, Pharmacist",St. John Bladdery,0.03185,1,1.0,0.1412
"Birdbury, Pharmacist",Tyrone Slothrop,0.03185,1,0.14744,0.1412
Gerhardt von Göll,Manuela,0.03185,1,0.22361,0.1412
Gerhardt von Göll,Spontoon,0.03185,1,0.22361,0.1412
Gerhardt von Göll,St. John Bladdery,0.03185,1,0.22361,0.1412
Broderick Slothrop,Margherita Erdmann,0.03182,2,0.28284,0.1412
Generaldirektor Smaragd,Kurt Mondaugen,0.03175,1,0.31623,0.141
Generaldirektor Smaragd,Laszlo Jamf,0.03175,1,0.15076,0.141
Kurt Mondaugen,Richard Hirsch,0.03175,1,0.44721,0.141
Laszlo Jamf,Richard Hirsch,0.03175,1,0.2132,0.141
Enzian,Gustav,0.03173,3,0.27975,0.141
Horst Achtfaden,Seaman Bodine,0.03167,2,0.29814,0.1408
Frau Gnahb,Procalowski,0.0315,1,0.2582,0.1404
Gerhardt von Göll,Procalowski,0.0315,1,0.1291,0.1404
Katje Borgesius,Otto,0.0315,1,0.13245,0.1404
Ned Pointsman,Procalowski,0.0315,1,0.1291,0.1404
Osbie Feel,Procalowski,0.0315,1,0.2582,0.1404
Otto,Procalowski,0.0315,1,0.33333,0.1404
Pavel,Procalowski,0.0315,1,0.28868,0.1404
Dr. Kevin Spectro,Dr. Porkyevitch,0.03125,1,0.28868,0.1399
Dr. Porkyevitch,Laszlo Jamf,0.03125,1,0.12309,0.1399
Dr. Porkyevitch,Thomas Gwenhidwy,0.03125,1,0.2582,0.1399
Chiclitz,Laszlo Jamf,0.03125,1,0.12309,0.1399
Gustav,Max Schlepzig,0.03119,2,0.26968,0.1398
Laszlo Jamf,Magda,0.03119,2,0.24618,0.1398
Magda,Max Schlepzig,0.03119,2,0.34816,0.1398
Broderick Slothrop,Tchitcherine,0.03091,3,0.31623,0.1391
Edwin Treacle,Mitchell Prettyplace,0.03083,2,0.63246,0.1389
Katje Borgesius,Mitchell Prettyplace,0.03083,2,0.32444,0.1389
Mitchell Prettyplace,Ned Pointsman,0.03083,2,0.31623,0.1389
Mitchell Prettyplace,Pirate Prentice,0.03083,2,0.33333,0.1389
Mitchell Prettyplace,Roger Mexico,0.03083,2,0.33333,0.1389
Dr. Aaron Throwster,Pirate Prentice,0.03037,2,0.2357,0.1379
Carroll Eventyr,Sammy Hilbert-Spaess,0.0303,1,0.28868,0.1378
Leni Pökler,Sammy Hilbert-Spaess,0.0303,1,0.31623,0.1378
Nora Dodson-Truck,Sammy Hilbert-Spaess,0.0303,1,0.40825,0.1378
Peter Sachsa,Sammy Hilbert-Spaess,0.0303,1,0.25,0.1378
Sammy Hilbert-Spaess,Tyrone Slothrop,0.0303,1,0.10426,0.1378
Joseph Ombindi,Marvy,0.0303,1,0.14434,0.1378
Joseph Ombindi,Tchitcherine,0.0303,1,0.11785,0.1378
Andreas Orukambe,Bert Fibel,0.0303,1,0.20412,0.1378
Bert Fibel,Charles,0.0303,1,0.40825,0.1378
Bert Fibel,Enzian,0.0303,1,0.12039,0.1378
Bert Fibel,Ludwig,0.0303,1,0.2357,0.1378
Bert Fibel,Sheila,0.0303,1,0.57735,0.1378
Charles,Ludwig,0.0303,1,0.28868,0.1378
Charles,Weissmann / Blicero,0.0303,1,0.15076,0.1378
Horst Achtfaden,Ludwig,0.0303,1,0.18257,0.1378
Ludwig,Sheila,0.0303,1,0.40825,0.1378
Sheila,Weissmann / Blicero,0.0303,1,0.2132,0.1378
Gerhardt von Göll,Steve Edelman,0.0303,1,0.15811,0.1378
Gottfried,Gustav,0.0303,1,0.16903,0.1378
Gottfried,Ludwig,0.0303,1,0.1543,0.1378
Gottfried,Magda,0.0303,1,0.21822,0.1378
Gottfried,Steve Edelman,0.0303,1,0.26726,0.1378
Gustav,Ludwig,0.0303,1,0.18257,0.1378
Gustav,Mindy Bloth,0.0303,1,0.44721,0.1378
Gustav,Richard M. Zhlubb,0.0303,1,0.44721,0.1378
Gustav,Steve Edelman,0.0303,1,0.31623,0.1378
Gustav,Thanatz,0.0303,1,0.1291,0.1378
Gustav,Weissmann / Blicero,0.0303,1,0.09535,0.1378
Ludwig,Magda,0.0303,1,0.2357,0.1378
Ludwig,Mindy Bloth,0.0303,1,0.40825,0.1378
Ludwig,Richard M. Zhlubb,0.0303,1,0.40825,0.1378
Ludwig,Seaman Bodine,0.0303,1,0.13608,0.1378
Ludwig,Steve Edelman,0.0303,1,0.28868,0.1378
Magda,Mindy Bloth,0.0303,1,0.57735,0.1378
Magda,Richard M. Zhlubb,0.0303,1,0.57735,0.1378
Magda,Steve Edelman,0.0303,1,0.40825,0.1378
Magda,Thanatz,0.0303,1,0.16667,0.1378
Magda,Weissmann / Blicero,0.0303,1,0.12309,0.1378
Mindy Bloth,Steve Edelman,0.0303,1,0.70711,0.1378
Mindy Bloth,Thanatz,0.0303,1,0.28868,0.1378
Richard M. Zhlubb,Steve Edelman,0.0303,1,0.70711,0.1378
Richard M. Zhlubb,Thanatz,0.0303,1,0.28868,0.1378
Seaman Bodine,Steve Edelman,0.0303,1,0.2357,0.1378
Seaman Bodine,Thanatz,0.0303,1,0.09623,0.1378
Steve Edelman,Thanatz,0.0303,1,0.20412,0.1378
Steve Edelman,Tyrone Slothrop,0.0303,1,0.10426,0.1378
Otto,Pirate Prentice,0.03029,2,0.27217,0.1377
Hogan,Max Schlepzig,0.03001,2,0.22792,0.1371
Dr. Aaron Throwster,Gerhardt von Göll,0.02992,2,0.22361,0.1369
Dr. Rollo Groast,Gerhardt von Göll,0.02992,2,0.18257,0.1369
Edwin Treacle,Gerhardt von Göll,0.02992,2,0.2,0.1369
Roger Mexico,Thanatz,0.02971,2,0.13608,0.1364
Andre Omnopon,Tyrone Slothrop,0.02964,2,0.20851,0.1362
Dr. Aaron Throwster,Gottfried,0.0295,2,0.37796,0.1359
Dr. Rollo Groast,Gottfried,0.0295,2,0.30861,0.1359
Edwin Treacle,Gottfried,0.0295,2,0.33806,0.1359
Gottfried,Webley Silvernail,0.0295,2,0.30861,0.1359
Marjorie,Pirate Prentice,0.02941,1,0.16667,0.1357
Marjorie,Tantivy Mucker-Maffick,0.02941,1,0.2357,0.1357
Pirate Prentice,Tantivy Mucker-Maffick,0.02941,1,0.07857,0.1357
Pirate Prentice,William Slothrop,0.02941,1,0.11785,0.1357
Glimpf,Katje Borgesius,0.02941,1,0.16222,0.1357
Enzian,Lyle Bland,0.02937,3,0.23643,0.1356
Max Schlepzig,Sigmund (Bad Karma companion),0.02931,2,0.4264,0.1355
Katje Borgesius,Myron Grunton,0.02905,2,0.2052,0.1349
Marvy,William Slothrop,0.02882,2,0.28868,0.1343
Géza Rózsavölgyi,Katje Borgesius,0.02868,2,0.2052,0.134
Hogan,Laszlo Jamf,0.02833,2,0.16116,0.1332
Enzian,Roger Mexico,0.02828,2,0.09829,0.1331
Gottfried,Roger Mexico,0.02828,2,0.17817,0.1331
Franz Pökler,Peter Sachsa,0.02822,2,0.2357,0.1329
Laszlo Jamf,Teddy Bloat,0.02802,2,0.14213,0.1325
Marvy,Tantivy Mucker-Maffick,0.02799,2,0.19245,0.1324
Géza Rózsavölgyi,Jerome / Jeremy,0.02778,1,0.16903,0.1319
Pavel,Thanatz,0.02748,2,0.28868,0.1312
Hogan,Pirate Prentice,0.02721,2,0.17817,0.1305
Bert Fibel,Franz Pökler,0.02721,2,0.3849,0.1305
Bert Fibel,Kurt Mondaugen,0.02721,2,0.5164,0.1305
Bert Fibel,Tyrone Slothrop,0.02721,2,0.17025,0.1305
Horst Achtfaden,Kurt Mondaugen,0.02721,2,0.4,0.1305
Hogan,Ned Pointsman,0.0272,3,0.25355,0.1305
Gerhardt von Göll,Leni Pökler,0.0272,2,0.2,0.1305
Peter Sachsa,Teddy Bloat,0.02718,3,0.35355,0.1305
Fritz (Pig-Hero assistant),Gerhardt von Göll,0.02703,1,0.22361,0.1301
Fritz (Pig-Hero assistant),Ilse Pökler,0.02703,1,0.57735,0.1301
Gerhardt von Göll,Ilse Pökler,0.02703,1,0.1291,0.1301
Gerhardt von Göll,Roland,0.02703,1,0.1118,0.1301
Ilse Pökler,Roland,0.02703,1,0.28868,0.1301
Ilse Pökler,Tyrone Slothrop,0.02703,1,0.08513,0.1301
Joseph Ombindi,Ludwig,0.02703,1,0.20412,0.1301
Leni Pökler,Roger Mexico,0.02689,2,0.21082,0.1298
Enzian,Peter Sachsa,0.02667,2,0.14744,0.1292
Greta Erdmann,Peter Sachsa,0.02667,2,0.20412,0.1292
Frau Gnahb,Geli Tripping,0.02667,1,0.15811,0.1292
G. M. B. Haftung,Geli Tripping,0.02667,1,0.25,0.1292
Geli Tripping,Otto,0.02667,1,0.20412,0.1292
Milton Gloaming,Thomas Gwenhidwy,0.02655,2,0.44721,0.1289
Peter Sachsa,Roland,0.0265,2,0.35355,0.1288
Géza Rózsavölgyi,Stephen Dodson-Truck,0.02639,2,0.36515,0.1286
Ned Pointsman,Teddy Bloat,0.02636,2,0.14907,0.1285
Blodgett Waxwing,Emil Säure Bummer,0.02632,1,0.11396,0.1284
Blodgett Waxwing,Frau Gnahb,0.02632,1,0.16903,0.1284
Blodgett Waxwing,Webley Silvernail,0.02632,1,0.1543,0.1284
Emil Säure Bummer,Frans van der Groov,0.02632,1,0.17408,0.1284
Emil Säure Bummer,Osbie Feel,0.02632,1,0.13484,0.1284
Emil Säure Bummer,Webley Silvernail,0.02632,1,0.12309,0.1284
Frans van der Groov,Frau Gnahb,0.02632,1,0.2582,0.1284
Frans van der Groov,Seaman Bodine,0.02632,1,0.19245,0.1284
Frau Gnahb,Gustav,0.02632,1,0.2,0.1284
Frau Gnahb,Laszlo Jamf,0.02632,1,0.09535,0.1284
Gustav,Osbie Feel,0.02632,1,0.2,0.1284
Gustav,Webley Silvernail,0.02632,1,0.18257,0.1284
Laszlo Jamf,Webley Silvernail,0.02632,1,0.08704,0.1284
Osbie Feel,Seaman Bodine,0.02632,1,0.14907,0.1284
Seaman Bodine,Webley Silvernail,0.02632,1,0.13608,0.1284
Greta Erdmann,Marvy,0.02626,2,0.16667,0.1282
Franz Pökler,Greta Erdmann,0.02601,2,0.19245,0.1276
Jerome / Jeremy,Teddy Bloat,0.02597,1,0.12599,0.1275
Jerome / Jeremy,Weissmann / Blicero,0.02597,1,0.08058,0.1275
Milton Gloaming,Weissmann / Blicero,0.02597,1,0.1066,0.1275
Roland,Weissmann / Blicero,0.02597,1,0.1066,0.1275
Teddy Bloat,Weissmann / Blicero,0.02597,1,0.07107,0.1275
Clive Mossmoon,Thomas Gwenhidwy,0.02581,2,0.31623,0.1271
Jerome / Jeremy,Thomas Gwenhidwy,0.02581,2,0.33806,0.1271
Jessica Swanlake,Thomas Gwenhidwy,0.02581,2,0.26968,0.1271
Albert Krypton,Ned Pointsman,0.02548,1,0.22361,0.1263
"Birdbury, Pharmacist",Ned Pointsman,0.02548,1,0.22361,0.1263
Manuela,Ned Pointsman,0.02548,1,0.22361,0.1263
Ned Pointsman,Spontoon,0.02548,1,0.22361,0.1263
Ned Pointsman,St. John Bladdery,0.02548,1,0.22361,0.1263
Hogan,Teddy Bloat,0.02543,3,0.37796,0.1262
Enzian,Kurt Mondaugen,0.02536,1,0.09325,0.126
Enzian,Leni Pökler,0.02536,1,0.09325,0.126
Enzian,Steve Edelman,0.02525,2,0.29488,0.1258
Sandra,Seaman Bodine,0.02524,2,0.4714,0.1257
Sandra,Tyrone Slothrop,0.02524,2,0.20851,0.1257
Katje Borgesius,Mario Schweitar,0.02519,2,0.32444,0.1256
Eddie Pensiero,Emil Säure Bummer,0.025,1,0.30151,0.1251
Eddie Pensiero,Franz Pökler,0.025,1,0.33333,0.1251
Eddie Pensiero,Gerhardt von Göll,0.025,1,0.22361,0.1251
Eddie Pensiero,Géza Rózsavölgyi,0.025,1,0.44721,0.1251
Eddie Pensiero,Krupp,0.025,1,0.37796,0.1251
Eddie Pensiero,Thanatz,0.025,1,0.28868,0.1251
Emil Säure Bummer,Lyle Bland,0.025,1,0.11396,0.1251
Gerhardt von Göll,Géza Rózsavölgyi,0.025,1,0.1,0.1251
Géza Rózsavölgyi,Krupp,0.025,1,0.16903,0.1251
Géza Rózsavölgyi,Thanatz,0.025,1,0.1291,0.1251
Krupp,Thanatz,0.025,1,0.10911,0.1251
Lyle Bland,Thanatz,0.025,1,0.10911,0.1251
Broderick Slothrop,Hogan,0.025,1,0.16903,0.1251
Broderick Slothrop,Horst Achtfaden,0.025,1,0.2,0.1251
Broderick Slothrop,Malcolm / Red (Roseland shoeshine boy),0.025,1,0.31623,0.1251
Broderick Slothrop,Weissmann / Blicero,0.025,1,0.09535,0.1251
Hogan,Horst Achtfaden,0.025,1,0.16903,0.1251
Hogan,Malcolm / Red (Roseland shoeshine boy),0.025,1,0.26726,0.1251
Hogan,Maximilian,0.025,1,0.37796,0.1251
Hogan,Myrtle,0.025,1,0.37796,0.1251
Horst Achtfaden,Malcolm / Red (Roseland shoeshine boy),0.025,1,0.31623,0.1251
Horst Achtfaden,Maximilian,0.025,1,0.44721,0.1251
Horst Achtfaden,Myrtle,0.025,1,0.44721,0.1251
Malcolm / Red (Roseland shoeshine boy),Maximilian,0.025,1,0.70711,0.1251
Malcolm / Red (Roseland shoeshine boy),Myrtle,0.025,1,0.70711,0.1251
Malcolm / Red (Roseland shoeshine boy),Seaman Bodine,0.025,1,0.2357,0.1251
Malcolm / Red (Roseland shoeshine boy),Weissmann / Blicero,0.025,1,0.15076,0.1251
Maximilian,Weissmann / Blicero,0.025,1,0.2132,0.1251
Myrtle,Weissmann / Blicero,0.025,1,0.2132,0.1251
Marvy,Max Schlepzig,0.02496,2,0.17408,0.125
Enzian,Webley Silvernail,0.02484,2,0.17025,0.1247
Hogan,Marjorie,0.02481,2,0.53452,0.1246
Hogan,William Slothrop,0.02481,2,0.37796,0.1246
Dr. Rollo Groast,Milton Gloaming,0.02475,2,0.40825,0.1245
Dr. Rollo Groast,Teddy Bloat,0.02475,2,0.27217,0.1245
Krupp,Tyrone Slothrop,0.02473,3,0.16718,0.1245
Lyle Bland,Tantivy Mucker-Maffick,0.02451,2,0.25198,0.1239
Ned Pointsman,Tantivy Mucker-Maffick,0.0244,2,0.14907,0.1236
Blodgett Waxwing,Jenny (2.07 scene),0.02439,1,0.37796,0.1236
Hilary Bounce,Jenny (2.07 scene),0.02439,1,0.57735,0.1236
Hilary Bounce,Laszlo Jamf,0.02439,1,0.12309,0.1236
Hilary Bounce,Mario Schweitar,0.02439,1,0.40825,0.1236
Hilary Bounce,Semyavin,0.02439,1,0.57735,0.1236
Hilary Bounce,Tantivy Mucker-Maffick,0.02439,1,0.19245,0.1236
Hilary Bounce,Villard Dumpster,0.02439,1,0.40825,0.1236
Jenny (2.07 scene),Laszlo Jamf,0.02439,1,0.2132,0.1236
Jenny (2.07 scene),Mario Schweitar,0.02439,1,0.70711,0.1236
Jenny (2.07 scene),Semyavin,0.02439,1,1.0,0.1236
Jenny (2.07 scene),Tantivy Mucker-Maffick,0.02439,1,0.33333,0.1236
Jenny (2.07 scene),Tyrone Slothrop,0.02439,1,0.14744,0.1236
Jenny (2.07 scene),Villard Dumpster,0.02439,1,0.70711,0.1236
Drohne,Generaldirektor Smaragd,0.02439,1,0.70711,0.1236
Drohne,Tyrone Slothrop,0.02439,1,0.14744,0.1236
Generaldirektor Smaragd,Gottfried,0.02439,1,0.26726,0.1236
Generaldirektor Smaragd,Greta Erdmann,0.02439,1,0.20412,0.1236
Generaldirektor Smaragd,Katje Borgesius,0.02439,1,0.16222,0.1236
Generaldirektor Smaragd,Thanatz,0.02439,1,0.20412,0.1236
Generaldirektor Smaragd,Tyrone Slothrop,0.02439,1,0.10426,0.1236
Generaldirektor Smaragd,Weissmann / Blicero,0.02439,1,0.15076,0.1236
Beláustegui,Chiclitz,0.02381,1,0.40825,0.1221
Beláustegui,Clive Mossmoon,0.02381,1,0.25,0.1221
Beláustegui,Enzian,0.02381,1,0.14744,0.1221
Beláustegui,Marvy,0.02381,1,0.20412,0.1221
Beláustegui,Ned Pointsman,0.02381,1,0.15811,0.1221
Beláustegui,Sir Marcus Scammony,0.02381,1,0.5,0.1221
Beláustegui,Tchitcherine,0.02381,1,0.16667,0.1221
Beláustegui,Tyrone Slothrop,0.02381,1,0.10426,0.1221
Beláustegui,Weissmann / Blicero,0.02381,1,0.15076,0.1221
Chiclitz,Clive Mossmoon,0.02381,1,0.20412,0.1221
Chiclitz,Graciela Imago Portales,0.02381,1,0.33333,0.1221
Chiclitz,Ned Pointsman,0.02381,1,0.1291,0.1221
Chiclitz,Sir Marcus Scammony,0.02381,1,0.40825,0.1221
Lyle Bland,Ned Pointsman,0.02369,2,0.16903,0.1218
Pirate Prentice,Procalowski,0.02362,1,0.13608,0.1216
Dr. Rollo Groast,Laszlo Jamf,0.02353,1,0.08704,0.1214
Andreas Orukambe,Thanatz,0.0235,2,0.20412,0.1213
Géza Rózsavölgyi,Weissmann / Blicero,0.02337,2,0.19069,0.121
Greta Erdmann,Seaman Bodine,0.02314,2,0.19245,0.1204
Alfonso Tracy,Laszlo Jamf,0.02284,2,0.30151,0.1196
Alfonso Tracy,Peter Sachsa,0.02284,2,0.5,0.1196
Alfonso Tracy,Tantivy Mucker-Maffick,0.02284,2,0.4714,0.1196
Geli Tripping,Greta Erdmann,0.02275,2,0.20412,0.1194
Jessica Swanlake,Myron Grunton,0.02263,2,0.26968,0.1191
Krupp,Leni Pökler,0.02224,2,0.33806,0.118
Broderick Slothrop,Mickey Rooney,0.02198,2,0.63246,0.1173
Emil Säure Bummer,Mickey Rooney,0.02198,2,0.4264,0.1173
Magda,Margherita Erdmann,0.02198,1,0.18257,0.1173
Gerhardt von Göll,Kurt Mondaugen,0.0219,2,0.2,0.1171
Dr. Porkyevitch,Ghislaine,0.0219,1,0.40825,0.1171
Dr. Porkyevitch,Jewel,0.0219,1,0.57735,0.1171
Dr. Porkyevitch,Katje Borgesius,0.0219,1,0.13245,0.1171
Dr. Porkyevitch,Tantivy Mucker-Maffick,0.0219,1,0.19245,0.1171
Dr. Porkyevitch,Teddy Bloat,0.0219,1,0.19245,0.1171
Ghislaine,Jewel,0.0219,1,0.70711,0.1171
Jewel,Katje Borgesius,0.0219,1,0.22942,0.1171
Jewel,Tantivy Mucker-Maffick,0.0219,1,0.33333,0.1171
Jewel,Teddy Bloat,0.0219,1,0.33333,0.1171
Jewel,Tyrone Slothrop,0.0219,1,0.14744,0.1171
Darlene,Dennis Joint,0.02174,1,0.5,0.1167
Darlene,Edwin Treacle,0.02174,1,0.22361,0.1167
Darlene,Ernest Pudding,0.02174,1,0.15811,0.1167
Darlene,Floyd Perdoo,0.02174,1,0.5,0.1167
Darlene,Géza Rózsavölgyi,0.02174,1,0.22361,0.1167
Darlene,Jessica Swanlake,0.02174,1,0.15076,0.1167
Darlene,Katje Borgesius,0.02174,1,0.11471,0.1167
Darlene,Mitchell Prettyplace,0.02174,1,0.35355,0.1167
Darlene,Pirate Prentice,0.02174,1,0.11785,0.1167
Dennis Joint,Ernest Pudding,0.02174,1,0.31623,0.1167
Dennis Joint,Géza Rózsavölgyi,0.02174,1,0.44721,0.1167
Dennis Joint,Mitchell Prettyplace,0.02174,1,0.70711,0.1167
Dennis Joint,Quoad,0.02174,1,0.70711,0.1167
Edwin Treacle,Géza Rózsavölgyi,0.02174,1,0.2,0.1167
Edwin Treacle,Quoad,0.02174,1,0.31623,0.1167
Ernest Pudding,Floyd Perdoo,0.02174,1,0.31623,0.1167
Ernest Pudding,Mitchell Prettyplace,0.02174,1,0.22361,0.1167
Ernest Pudding,Quoad,0.02174,1,0.22361,0.1167
Floyd Perdoo,Géza Rózsavölgyi,0.02174,1,0.44721,0.1167
Floyd Perdoo,Mitchell Prettyplace,0.02174,1,0.70711,0.1167
Floyd Perdoo,Quoad,0.02174,1,0.70711,0.1167
Géza Rózsavölgyi,Mitchell Prettyplace,0.02174,1,0.31623,0.1167
Géza Rózsavölgyi,Quoad,0.02174,1,0.31623,0.1167
Jessica Swanlake,Mitchell Prettyplace,0.02174,1,0.2132,0.1167
Jessica Swanlake,Quoad,0.02174,1,0.2132,0.1167
Katje Borgesius,Quoad,0.02174,1,0.16222,0.1167
Mitchell Prettyplace,Quoad,0.02174,1,0.5,0.1167
Mitchell Prettyplace,Tyrone Slothrop,0.02174,1,0.10426,0.1167
Ned Pointsman,Quoad,0.02174,1,0.15811,0.1167
Pirate Prentice,Quoad,0.02174,1,0.16667,0.1167
Quoad,Roger Mexico,0.02174,1,0.16667,0.1167
Chu Piang,Laszlo Jamf,0.02174,1,0.2132,0.1167
Felix,Frau Gnahb,0.02158,1,0.31623,0.1163
Frau Gnahb,Hilde,0.02158,1,0.44721,0.1163
Broderick Slothrop,Franz Pökler,0.02143,2,0.29814,0.1158
Clive Mossmoon,Dr. Porkyevitch,0.02128,1,0.20412,0.1154
Clive Mossmoon,Reverend Paul de la Nuit,0.02128,1,0.20412,0.1154
Dr. Aaron Throwster,Dr. Porkyevitch,0.02128,1,0.28868,0.1154
Dr. Aaron Throwster,Géza Rózsavölgyi,0.02128,1,0.22361,0.1154
Dr. Porkyevitch,Dr. Rollo Groast,0.02128,1,0.2357,0.1154
Dr. Porkyevitch,Géza Rózsavölgyi,0.02128,1,0.2582,0.1154
Dr. Porkyevitch,Myron Grunton,0.02128,1,0.2582,0.1154
Dr. Porkyevitch,Pirate Prentice,0.02128,1,0.13608,0.1154
Dr. Porkyevitch,Reverend Paul de la Nuit,0.02128,1,0.33333,0.1154
Dr. Porkyevitch,Webley Silvernail,0.02128,1,0.2357,0.1154
Dr. Rollo Groast,Géza Rózsavölgyi,0.02128,1,0.18257,0.1154
Reverend Paul de la Nuit,Webley Silvernail,0.02128,1,0.2357,0.1154
Greta Erdmann,Maria (Christian's sister),0.02103,2,0.33333,0.1148
Greta Erdmann,Procalowski,0.02103,2,0.33333,0.1148
Katje Borgesius,Maria (Christian's sister),0.02103,2,0.26491,0.1148
Maria (Christian's sister),Procalowski,0.02103,2,0.66667,0.1148
Maria (Christian's sister),Thanatz,0.02103,2,0.33333,0.1148
Maria (Christian's sister),Tyrone Slothrop,0.02103,2,0.17025,0.1148
Maria (Christian's sister),Weissmann / Blicero,0.02103,2,0.24618,0.1148
Procalowski,Thanatz,0.02103,2,0.33333,0.1148
Allen Lamplighter,Dr. Aaron Throwster,0.02083,1,0.28868,0.1142
Allen Lamplighter,Gerhardt von Göll,0.02083,1,0.1291,0.1142
Allen Lamplighter,Jessica Swanlake,0.02083,1,0.17408,0.1142
Allen Lamplighter,Leni Pökler,0.02083,1,0.2582,0.1142
Allen Lamplighter,Weissmann / Blicero,0.02083,1,0.12309,0.1142
Carroll Eventyr,Dr. Aaron Throwster,0.02083,1,0.20412,0.1142
Carroll Eventyr,Gerhardt von Göll,0.02083,1,0.09129,0.1142
Dr. Aaron Throwster,Jessica Swanlake,0.02083,1,0.15076,0.1142
Dr. Aaron Throwster,Leni Pökler,0.02083,1,0.22361,0.1142
Dr. Aaron Throwster,Nora Dodson-Truck,0.02083,1,0.28868,0.1142
Dr. Aaron Throwster,Peter Sachsa,0.02083,1,0.17678,0.1142
Dr. Aaron Throwster,Walter Asch,0.02083,1,0.5,0.1142
Dr. Rollo Groast,Leni Pökler,0.02083,1,0.18257,0.1142
Edwin Treacle,Leni Pökler,0.02083,1,0.2,0.1142
Gerhardt von Göll,Jessica Swanlake,0.02083,1,0.06742,0.1142
Gerhardt von Göll,Nora Dodson-Truck,0.02083,1,0.1291,0.1142
Gerhardt von Göll,Reverend Paul de la Nuit,0.02083,1,0.1291,0.1142
Gerhardt von Göll,Walter Asch,0.02083,1,0.22361,0.1142
